Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
EastSide Games,2023-08-29,28,,Mobile,British Columbia,Canada
Romino Games,2023-08-30,25,,Indie,Netherlands,Netherlands
Gearbox Publishing,2023-08-30,,Embracer Group,Publisher,Texas,Sweden
Volition,2023-08-31,240,Embracer Group,Console,Illinois,Sweden
Rainbow Studios,2023-08-31,15,Embracer Group,Console,Arizona,Sweden
Keywords Edmonton,2023-08-31,13,Keywords Studios,Publisher,Alberta,United Kingdom
Telltale Games,2023-09-08,,,Indie,California,United States
Demiurge Studios,2023-09-08,5,,Indie,Massachusetts,United States
Visual Concepts,2023-09-12,,TakeTwo Interactive,Console,Texas,United States
Ascendant Studios,2023-09-14,50,,Console,California,United States
Ubisoft London,2023-09-14,54,Ubisoft,Mobile,England,France
probablyMonsters,2023-09-15,55,,Indie,Washington State,United States
BeamDog,2023-09-15,23,Embracer Group,Console,Washington State,Sweden
DoubleDown Interactive,2023-09-15,25,DoubleU Games Co Ltd.,Mobile,Washington State,United States
Crystal Dynamics,2023-09-20,10,Embracer Group,Console,California,Sweden
Naughty Dog,2023-09-22,,Sony Entertainment,,California,Japan
Blizzard Entertainment,2023-09-25,10,Activision Blizzard King,Console,California,United States
Other Ocean Interactive,2023-09-27,,Other Ocean Group Inc,Indie,California,United States
Maze Theory,2023-09-27,12,Emergent Entertainment,AR/VR,England,United Kingdom
Noggin,2023-09-27,30,Paramount Global,Online,,United States
Ubisoft Redstorm,2023-09-28,6,Ubisoft,Publisher,North Carolina,France
Epic Games,2023-09-28,830,Epic,Tech,North Carolina,United States
Fishlabs,2023-09-30,8,Embracer Group,Console,Germany,Sweden
Dang!,2023-10-02,5,,Indie,New York,United States
Team17,2023-10-02,,Team17,Publisher,England,England
Twitch,2023-10-03,35,Amazon,Online,California,United States
Hyper Hippos Entertainment,2023-10-04,30,,Mobile,British Columbia,Canada
Rogue Games Inc,2023-10-05,10,,Publisher,California,United States
Calypte,2023-10-05,15,Virtuos,Publisher,California,China
Drifter Entertainment,2023-10-06,15,,Indie,Washington State,United States
ForeVR Games,2023-10-12,5,,AR/VR,California,United States
Zen Studios,2023-10-13,32,Embracer Group,Console,Hungary,Sweden
Frontier Developments,2023-10-17,,,Console,England,United Kingdom
Media Molecule,2023-10-18,20,Sony Entertainment,Console,England,Japan
PlayStation VASG,2023-10-18,,Sony Entertainment,Console,California,Japan
Six  to Start,2023-10-18,12,OliveX,Mobile,England,Hong Kong
LuoBu,2023-10-23,15,Roblox,Online,China,United States
LevelEx,2023-10-23,14,BrainLab,Mobile,Illinois,United States
MotorSport Games,2023-10-29,38,MotorSport Network,Console,Florida,United States
Bungie,2023-10-30,100,Sony Entertainment,Console,Washington State,Japan
DR Studios,2023-10-31,,505 Games,Console,England,United States
Cryptic Studios,2023-11-02,,Embracer Group,Online,California,Sweden
Chimera Entertainment,2023-11-02,15,Remote Control Productions,Mobile,Germany,Germany
Ubisoft Montreal,2023-11-07,135,Ubisoft,Console,Montreal,France
Free Radical Design,2023-11-08,80,Embracer Group,Console,England,Sweden
Digital Extremes,2023-11-09,30,Leyou,Online,Ottawa,China
Amazon Games,2023-11-13,180,Amazon,Publisher,,United States
Digital Bros Group,2023-11-14,130,,Publisher,Italy,Italy
Kongregate,2023-11-14,20,Modern Times Group,Online,California,Sweden
Humble Games,2023-11-14,,Humble Bundle,Publisher,,United States
Blackbird Interactive,2023-11-15,30,,Indie,British Columbia,Canada
Two Desperados,2023-11-16,20,,Indie,Serbia,Serbia
Embracer Placeholder,2023-11-16,473,Embracer Group,Publisher,Sweden,Sweden
Dark Slope,2023-11-17,7,,AR/VR,Ontario,Canada
Papukaya,2023-11-20,5,,Mobile,Finland,Finland
Wildlife Studios,2023-11-22,300,,Mobile,Brazil,Brazil
NanoReality Games Ltd.,2023-11-24,,,Mobile,Cyprus,Cyprus
Zhoaoxi Guangnian (Nuverse),2023-11-27,1000,ByteDance,Online,China,China
Fishlabs,2023-11-28,50,Embracer Group,Console,Germany,Sweden
Weta Digital,2023-11-28,265,Unity,Tech,New Zealand,United States
Bossa Studios,2023-11-30,19,,Indie,England,United Kingdom
Phoenix Labs,2023-11-30,35,,Online,British Columbia,Canada
IGUO Mobile Entertainment,2023-12-01,8,Embracer Group,Mobile,British Columbia,Sweden
New World Intertactive,2023-12-04,,Embracer Group,Console,Colorado,Sweden
CodeMasters,2023-12-04,,Electronic Arts,Console,England,United States
Age of Learning Inc.,2023-12-04,,ABC Mouse,Online,California,United States
Rovio Montreal,2023-12-05,16,SEGA,Console,Quebec,Japan
HakJak Studios,2023-12-05,16,TinyBuild,Mobile,Idaho,United States
Funselektor Labs,2023-12-06,3,,Indie,Australia,Australia
League of Geeks,2023-12-06,29,,Indie,Australia,Australia
Triple Topping Games,2023-12-08,10,,Indie,Denmark,Denmark
3D Realms / Slipgate Ironworks,2023-12-14,,Embracer Group,Console,Denmark,Sweden
Wonderstorm Inc.,2023-12-18,,,Console,California,United States
First Contact Entertainment,2023-12-21,40,,AR/VR,California,United States
Versus Evil,2023-12-22,13,TinyBuild,Publisher,Maryland,United States
Lion Games,2023-12-26,60,,Mobile,South Korea,South Korea
Archiact,2024-01-02,20,,AR/VR,British Columbia,Canada
Sliptegate Iron Works,2024-01-03,,Embracer Group,Console,Sweden,Sweden
Unity Technologies,2024-01-08,1800,Unity,Tech,California,United States
Twitch,2024-01-10,500,Amazon,Online,California,United States
Playtika,2024-01-11,350,PlayTika,Mobile,Israel,Israel
Nesting Games,2024-01-12,68,Digital Bros,Console,Quebec,Italy
Lost Boys Interactive,2024-01-12,125,Embracer Group,Console,Wisconsin,Sweden
Prahna Bytes,2024-01-16,,Embracer Group,Console,,Sweden
PTW,2024-01-16,45,,Publisher,,
Wimo Games,2024-01-17,20,,Online,Texas,United States
Netspeak Games,2024-01-17,25,,Indie,,
Thunderful Group,2024-01-17,75,Thunderful Group,Publisher,,Sweden
Pixelberry,2024-01-17,,Nexon,Mobile,California,South Korea
Ntreev Soft,2024-01-18,70,NCSoft,Online,South Korea,South Korea
31st Union,2024-01-18,,TakeTwo Interactive,Console,,United States
CI Games,2024-01-18,30,,Console,,
Behaviour Interactive,2024-01-18,45,,Console,Quebec,Canada
Chief Rebel,2024-01-19,,,Indie,,
Metaverse World,2024-01-19,70,Netmarble,Online,South Korea,South Korea
Little Red Dog Games,2024-01-22,30,,Console,,
Riot Games,2024-01-22,530,Tencent,Online,California,China
Warducks,2024-01-23,10,,Mobile,Ireland,Ireland
Plarium,2024-01-24,45,Aristocrat Games,Mobile,,
People Can Fly Studios,2024-01-24,30,,Console,,
Black Forest Games,2024-01-25,40,Embracer Group,Console,,Sweden
Activision Blizzard,2024-01-25,1900,Microsoft,Console,,United States
Eidos Montreal,2024-01-29,97,Embracer Group,Console,Quebec,Sweden
Starword Industries,2024-01-30,15,,Console,Poland,Poland
Nimble Giant,2024-01-30,,Embracer Group,Console,,Sweden
Artificer,2024-01-31,,Devolver Digital,Console,,
Airship Syndicate,2024-01-31,12,,Indie,Texas,United States
Rovio Montreal,2024-01-31,12,SEGA,Mobile,,Japan
Chimera Entertainment,2024-02-01,20,Remote Control Productions,Mobile,,
Threaks,2024-02-01,25,,Indie,Germany,Germany
Crop Circle Games,2024-02-05,,Prytania Media,Indie,,United States
Cloud Imperium Games,2024-02-06,,,Indie,,United States
Visual Concepts,2024-02-06,,TakeTwo Interactive,Console,Texas,United States
GameScience,2024-02-07,10,Prytania Media,Indie,,United States
Hidden Path Entertainment,2024-02-07,44,,Indie,Washington,United States
91Act,2024-02-07,15,,Indie,,China
Threshold Games,2024-02-09,11,,Indie,,United States
Daybreak Games,2024-02-12,15,Enad Global 7,Online,California,Sweden
Genvid Technologies,2024-02-12,,,Online,,United States
Scopely,2024-02-14,15,Savvy Games Group,Mobile,California,Saudi Arabia
Noggin,2024-02-16,,Paramount Global,Online,,United States
Build a Rocket Boy,2024-02-19,,,Console,,United Kingdom
GameLoft Lviv,2024-02-21,38,Viacom,Mobile,Ukraine,France
Disruptive Games,2024-02-21,,,Console,California,United States
CodeMasters,2024-02-23,,Electronic Arts,Mobile,England,United States
Die Gut Fabrik,2024-02-26,10,,Indie,Denmark,Denmark
SuperMassive Games,2024-02-26,90,,Console,England,United Kingdom
Deck Nine Games,2024-02-27,25,,Console,Colorado,United States
PlayStation London,2024-02-27,,,Console,England,Japan
PlayStation Studios,2024-02-27,900,Sony,Console,,Japan
Wildlife Studios,2024-02-28,130,,Mobile,,Brazil
Electronic Arts,2024-02-28,670,Electronic Arts,Publisher,,United States
505 Games,2024-02-29,,Digital Bros,Publisher,Italy,Italy
Keoken Interactive,2024-02-29,4,,Indie,Netherlands,Netherlands
Babaroga Games,2024-03-01,4,,Indie,Illinois,United States
Radical Forge,2024-03-01,6,,Indie,England,United Kingdom
FrogSong Studios,2024-03-01,25,,Indie,Sweden,Sweden
ZA/UM,2024-03-06,24,,Indie,,United Kingdom
Sega of America,2024-03-08,61,SEGA,Publisher,California,United States
Deviation Games,2024-03-08,50,,Console,California,United States
Something Wicked Games,2024-03-15,40,,Indie,Maryland,United States
Velan Studios,2024-03-17,46,,Indie,New York,United States
Happy Volcano,2024-03-17,8,,Indie,Belgium,Belgium
Tarsier Studios,2024-03-22,,Embracer Group,Console,Sweden,Sweden
