NAME,FAILDATE,QBFASSET,QBFDEP,CITY,PSTALP,COST,RESTYPE
PLAZA DEL ORO NATIONAL BANK,1/11/1990,15697,15778,HOUSTON,TX,1503,FAILURE
ST. CHARLES FSA,1/11/1990,146514,113270,ST. CHARLES,IL,6084,FAILURE
AMERICAN FSB,1/11/1990,51797,39793,SANFORD,ME,14228,FAILURE
FAMILY FEDERAL SAVINGS,1/11/1990,164183,100719,DALLAS,OR,4201,FAILURE
ATLANTIC FINANCIAL SAVINGS,1/11/1990,5299370,3710735,BALA CYNWYD,PA,946981,FAILURE
ST. LOUIS COUNTY SAVINGS ASSOC.,1/11/1990,85828,81197,FERGUSON,MO,10,FAILURE
FARMERS STATE BANK IN MERKEL,2/3/1939,183,131,MERKEL,TX,,FAILURE
"HORIZON SAVINGS BANK, FSB",1/11/1990,1223701,1102973,WILMETTE,IL,80770,FAILURE
CERTIFIED FSA,1/11/1990,118852,91442,GEORGETOWN,TX,58136,FAILURE
INVESTMENT FS & LA,1/11/1990,247813,241488,CHATSWORTH,CA,0,FAILURE
DEPOSIT TRUST FEDERAL SAVINGS,1/11/1990,97966,91712,MONROE,LA,24750,FAILURE
WILSHIRE FS & LA,1/11/1990,78144,77324,LOS ANGELES,CA,9051,FAILURE
FINANCIAL FS & LA,1/11/1990,31163,33755,FRESNO,CA,3071,FAILURE
FRONTIER FEDERAL SAVINGS BANK,1/18/1990,45338,47565,BELLEVILLE,IL,278,FAILURE
GEM CITY FS & LA,1/18/1990,290392,232928,QUINCY,IL,11556,FAILURE
MARSHALL FS & LA,1/18/1990,62047,57793,MARSHALL,TX,14369,FAILURE
DUVAL FEDERAL SAVINGS ASSN.,1/18/1990,1016266,861575,JACKSONVILLE,FL,132227,FAILURE
THE COUDERSPORT TRUST COMPANY,2/4/1939,952,706,COUDERSPORT,PA,,FAILURE
FIRST FED. SAVINGS ASSOC. OF YORK,1/18/1990,59744,54885,YORK,NE,2846,FAILURE
STANDARD FSA,1/18/1990,13517,15080,HOUSTON,TX,9642,FAILURE
COLONIAL FEDERAL SAVINGS ASSOC.,1/18/1990,136400,102389,PRAIRIE VILLAGE,KS,16641,FAILURE
BROOKHAVEN FS & LA,1/18/1990,42729,41976,BROOKHAVEN,MS,8179,FAILURE
KARNES COUNTY FS & LA,1/18/1990,53124,56683,KARNES CITY,TX,24687,FAILURE
EMPIRE OF AMERICA FSB,1/24/1990,8173572,8025454,BUFFALO,NY,1243168,FAILURE
"FARMERS STATE BANK OF SHIRO, TEXAS",1/25/1990,4601,4399,SHIRO,TX,2118,FAILURE
"BANCTEXAS DALLAS, N.A.",1/26/1990,340938,338207,DALLAS,TX,64630,FAILURE
"MONROE SAVINGS BANK, FSB",1/26/1990,520587,488802,ROCHESTER,NY,25746,FAILURE
CREDITBANK,1/26/1990,76437,74090,CUTLER RIDGE,FL,15744,FAILURE
THE AMERICAN NATIONAL BANK OF CAMDEN,2/4/1939,,820,CAMDEN,NJ,,FAILURE
"FIDELITY BANK, NATIONAL ASSOCIATION",1/26/1990,36625,35817,SAN ANTONIO,TX,5092,FAILURE
FIRST SAVINGS ASSOC.,1/26/1990,113384,100539,BISMARK,ND,16720,FAILURE
COLONIAL S & LA,1/26/1990,170860,157400,CAPE GIRARDEAU,MO,7976,FAILURE
WILLIAMSBURG FS & LA,1/26/1990,310520,257666,SALT LAKE CITY,UT,31128,FAILURE
GRAND PRAIRIE FS & LA,1/26/1990,31465,24780,STUTTGART,AR,14175,FAILURE
UVALDE FS & LA,1/26/1990,13262,14318,UVALDE,TX,6085,FAILURE
PALO DURO FS & LA,1/26/1990,64983,41818,AMARILLO,TX,12600,FAILURE
MERABANK FSB,1/31/1990,6317579,4803146,PHOENIX,AZ,671485,FAILURE
TYLER NATIONAL BANK,2/1/1990,24708,26103,TYLER,TX,6892,FAILURE
CITIZENS NATIONAL BANK OF WALNUT RIDGE,2/2/1990,37524,34098,WALNUT RIDGE,AR,6321,FAILURE
THE NEW JERSEY TITLE GUARANTEE & TRUST CO.,2/11/1939,30745,21667,JERSEY CITY,NJ,,FAILURE
COMMERCE BANK OF TAMPA,2/2/1990,21631,22270,TAMPA,FL,4018,FAILURE
HENDERSON HOME S & LA,2/2/1990,50377,49827,HENDERSON,KY,2232,FAILURE
"CENTRUST BANK, SB",2/2/1990,8217563,5894019,MIAMI,FL,672161,FAILURE
CLYDE FS & LA,2/2/1990,574684,563728,NORTH RIVERSIDE,IL,54302,FAILURE
"PIONEER SAVINGS BANK, FSB",2/2/1990,1935739,1424005,CLEARWATER,FL,217193,FAILURE
SENTINEL FS & LA,2/2/1990,174915,170574,PHOENIX,AZ,39326,FAILURE
THE FIRST NATIONAL BANK OF COLBERT,2/8/1990,17910,16539,COLBERT,OK,3897,FAILURE
FAIRMONT FEDERAL SAVINGS ASSOC.,2/9/1990,45966,46392,FAIRMONT,MN,1304,FAILURE
"ABQ BANK, A FSB",2/9/1990,2018703,1467840,ALBUQUERQUE,NM,434134,FAILURE
AMERICAN FEDERAL SAVINGS ASSOC.,2/9/1990,910668,817908,DES MOINES,IA,23524,FAILURE
NORTH CAMDEN TRUST COMPANY,2/11/1939,,820,CAMDEN,NJ,,FAILURE
VERMONT SA,2/9/1990,334886,254328,TIMONIUM,MD,41859,FAILURE
HUNTINGTON FS & LA,2/9/1990,120438,120234,HUNTINGTON BEACH,CA,13327,FAILURE
LIBERTY SAVINGS BANK FSB,2/9/1990,49481,41961,RANDALLSTOWN,MD,15321,FAILURE
HUFFMAN BANK,2/15/1990,22019,21660,HUFFMAN,TX,2835,FAILURE
NORTHWAY NATIONAL BANK,2/15/1990,19138,23917,DALLAS,TX,8427,FAILURE
GATEWAY NATIONAL BANK,2/15/1990,8598,8209,PHOENIX,AZ,5864,FAILURE
FREEDOM SA,2/16/1990,360378,311944,COLUMBUS,OH,42722,FAILURE
STATE FS & LA,2/16/1990,526339,358341,TULSA,OK,82645,FAILURE
FIDELITY SAVINGS BANK,2/16/1990,16317,16462,DANVILLE,IL,1080,FAILURE
GREAT AMERICAN FS & LA,2/16/1990,1013231,736370,OAK PARK,IL,10483,FAILURE
GROVETON NATIONAL BANK,2/14/1939,,297,GROVETON,NH,,FAILURE
HERITAGE FSB,2/16/1990,225004,175737,OMAHA,NE,16463,FAILURE
FRANKLIN FSA,2/16/1990,9258163,4638598,OTTAWA,KS,38167,FAILURE
"EQUITABLE S & LA, FA",2/16/1990,73176,63656,COLUMBUS,NE,3854,FAILURE
WESTERN EMPIRE FS & LA,2/16/1990,406574,318451,YORBA LINDA,CA,26502,FAILURE
THE BEN FRANKLIN FS & LA,2/21/1990,4616850,3222248,PORTLAND,OR,133,FAILURE
THE FIRST STATE BANK OF REGENT,2/22/1990,9717,9526,REGENT,ND,2857,FAILURE
THE BANK OF RUIDOSO,2/23/1990,27843,26459,RUIDOSO,NM,12672,FAILURE
THE RED RIVER BANK,2/23/1990,6530,6550,RED RIVER,NM,2131,FAILURE
FIRST ATLANTIC S & LA,2/23/1990,1296682,1009768,PLAINFIELD,NJ,233531,FAILURE
FIRST FEDERAL SAV. ASSOC./BLUEFIELD,2/23/1990,39261,33226,BLUEFIELD,WV,2579,FAILURE
ST. JOSEPH COUNTY SAVINGS BANK,2/16/1939,,1584,SOUTH BEND,IN,,FAILURE
PROVIDENT SA,2/23/1990,244946,200294,CASPER,WY,16238,FAILURE
FRONTIER FS & LA,2/23/1990,146865,120037,WALLA WALLA,WA,10,FAILURE
IMPERIAL FEDERAL SAVINGS ASSOC.,2/23/1990,9581584,6615722,SAN DIEGO,CA,203148,FAILURE
VANGUARD SB,2/23/1990,176858,150691,VANDERGRIEF,PA,25809,FAILURE
FIRST STANDARD FED. SAVINGS ASSOC.,2/23/1990,77577,75603,FAIRMONT,WV,4,FAILURE
GREENWOOD FS & LA,2/23/1990,26663,25564,GREENWOOD,MS,4457,FAILURE
COMMUNITY FEDERAL SAVINGS BANK,2/23/1990,112025,114164,EAST MOLINE,IL,2986,FAILURE
MERCURY SAVINGS,2/23/1990,2158830,1794178,HUNTINGTON BEACH,CA,15683,FAILURE
TEXASBANC SAVINGS,2/23/1990,248839,385722,CONROE,TX,325899,FAILURE
NOWLIN SA,2/23/1990,200506,195537,FT. WORTH,TX,58132,FAILURE
THE ST. JOSEPH LOAN & TRUST COMPANY,2/16/1939,,3202,SOUTH BEND,IN,,FAILURE
FIRST NATIONAL BANK OF SANGER,3/1/1990,19653,19943,SANGER,TX,2820,FAILURE
COMMUNITY STATE BANK OF ONALASKA,3/1/1990,9685,9611,ONALASKA,TX,2931,FAILURE
SEARCH NATIONAL BANK,3/1/1990,21155,22225,DALLAS,TX,6923,FAILURE
PIMA S & LA,3/2/1990,2734063,2128178,TUCSON,AZ,160525,FAILURE
SECURITY FS & LA,3/2/1990,341553,237490,RICHMOND,VA,24020,FAILURE
NEW ATHENS FS & LA,3/2/1990,30419,27643,NEW ATHENS,IL,1559,FAILURE
NORTH CAROLINA FS & LA,3/2/1990,628098,455029,CHARLOTTE,NC,41802,FAILURE
HAVEN FS & LA,3/2/1990,172437,146159,WINTER HAVEN,FL,32869,FAILURE
UNIVERSITY NATIONAL BANK OF COLLEGE STATIO,3/8/1990,36341,39534,COLLEGE STATION,TX,11740,FAILURE
FARMERS STATE BANK,3/8/1990,32735,33426,SCHULENBERG,TX,6668,FAILURE
THE FIRST NAT'L BANK & TR CO. OF BLACKWOOD,2/18/1939,,708,BLACKWOOD,NJ,,FAILURE
CITIZENS NATIONAL BANK,3/8/1990,16160,16845,DENTON,TX,1863,FAILURE
FIRST BANK NATIONAL ASSOCIATION,3/9/1990,33087,32147,CLEVELAND,OH,2203,FAILURE
HIAWATHA SAVINGS & LOAN,3/9/1990,49198,54136,HIAWATHA,KS,38427,FAILURE
PEOPLES FS & LA,3/9/1990,105531,91019,BARTLESVILLE,OK,10841,FAILURE
YORKWOOD S & LA,3/9/1990,205283,191301,MAPLEWOOD,NJ,53166,FAILURE
NASSAU S & LA,3/9/1990,313057,275627,PRINCETON,NJ,51884,FAILURE
INVESTORS SAVINGS BANK,3/9/1990,81110,65839,NASHVILLE,TN,16078,FAILURE
WESTPORT FEDERAL SAVINGS BANK,3/9/1990,169635,171548,HANFORD,CA,27717,FAILURE
BANK OF MEEKER,3/15/1990,15529,15503,MEEKER,OK,3756,FAILURE
LIBERTY CITY STATE BANK,3/15/1990,15189,15004,LIBERTY CITY,TX,1541,FAILURE
E. P. WILBUR TRUST COMPANY,11/16/1935,,4357,BETHLEHEM,PA,,FAILURE
PEOPLES STATE BANK,2/21/1939,,1932,FRANKFORT,KY,,FAILURE
INDEPENDENT NATIONAL BANK,3/15/1990,12417,13523,PHOENIX,AZ,3243,FAILURE
NASAU FEDERAL SAVINGS & LOAN,3/16/1990,296815,300473,BROOKLYN,NY,60274,FAILURE
LAKELAND SAVINGS BANK FSB,3/16/1990,79624,80645,DETROIT LAKES,MN,24793,FAILURE
FIRST FS & LA OF WICHITA FALLS,3/16/1990,84836,88145,WICHITA FALLS,TX,17125,FAILURE
WHITESTONE SAVINGS,3/16/1990,396946,352700,WHITESTONE,NY,36506,FAILURE
"UNITED FEDERAL SAVINGS, FA",3/16/1990,53244,43923,NEW ORLEANS,LA,16516,FAILURE
SUN FEDERAL SAVINGS ASSOC.,3/16/1990,24299,18967,FORT DODGE,IA,1832,FAILURE
GREAT AMERICAN FS & LA,3/16/1990,159235,133163,CORINTH,MS,29833,FAILURE
PACIFIC COAST S & LA,3/16/1990,1040267,633168,SAN FRANCISCO,CA,55672,FAILURE
FIRST AMERICA FSB,3/16/1990,187366,146818,LONGMONT,CO,41293,FAILURE
THE FIRST NATIONAL BANK IN BROOKSVILLE,2/25/1939,,274,BROOKSVILLE,FL,,FAILURE
THE CENTRAL NATIONAL BANK OF SAN ANGELO,3/22/1990,147449,148163,SAN ANGELO,TX,45132,FAILURE
MIAMI NATIONAL BANK,3/22/1990,46399,45124,MIAMI,FL,5254,FAILURE
COMMUNITY BANK,3/22/1990,41952,42089,NEW CANEY,TX,7459,FAILURE
AMERICAN BANK OF ARLINGTON,3/22/1990,28327,28823,ARLINGTON,TX,4391,FAILURE
"THE WALLER BANK, NATIONAL ASSOCIATION",3/22/1990,13354,13677,WALLER,TX,3460,FAILURE
ALVORD NATIONAL BANK,3/29/1990,7616,7663,ALVORD,TX,496,FAILURE
FIRST NATIONAL BANK OF GARLAND,3/29/1990,9394,10071,GARLAND,TX,2307,FAILURE
"CROWN BANK, NATIONAL ASSOCIATION",3/29/1990,22767,21927,SAN ANTONIO,TX,3217,FAILURE
EVERMAN NATIONAL BANK OF FORT WORTH,3/30/1990,65941,65547,FORT WORTH,TX,11444,FAILURE
IMPERIAL BANK,3/30/1990,23166,23983,CORAL GABLES,FL,5070,FAILURE
THE BANK OF ROCKY HILL,3/4/1939,163,154,ROCKY HILL,KY,,FAILURE
FIRST BANK & TRUST COMPANY,4/5/1990,13788,13101,CEDAR HILL,TX,1664,FAILURE
CHAMPIONS POINT NATIONAL BANK,4/5/1990,20581,19513,HOUSTON,TX,4808,FAILURE
"COLONY SAVINGS BANK, FSB",4/5/1990,427473,330654,MONACA,PA,82102,FAILURE
THE BAZINE STATE BANK,4/12/1990,16940,16509,BAZINE,KS,1959,FAILURE
FIRST FEDERAL SAVINGS & LOAN,4/12/1990,150053,144101,WARNER ROBINS,GA,14965,FAILURE
CONSTITUTION FED. SAVINGS ASSOC.,4/12/1990,66415,64763,MONTEREY PARK,CA,3,FAILURE
"THE SEAMEN'S BANK OF SAVINGS, FS",4/18/1990,3391988,2141918,NEW YORK,NY,148042,FAILURE
CORINTH DEPOSIT NATIONAL BANK,4/19/1990,8744,8652,CORINTH,KY,402,FAILURE
CHAS. SCHREINER BANK,4/19/1990,228079,232549,KERRVILLE,TX,38898,FAILURE
COVE STATE BANK,4/19/1990,37343,37464,COPPERAS COVE,TX,6022,FAILURE
THE POINT PLEASANT NATIONAL BANK,3/7/1939,461,410,POINT PLEASANT,WV,,FAILURE
FIRST STATE BANK OF CRANDALL,4/19/1990,15830,15627,CRANDALL,TX,3031,FAILURE
SECURITY NATIONAL BANK OF ELGIN,4/19/1990,10839,10710,ELGIN,TX,2351,FAILURE
ACADIANA NATIONAL BANK,4/19/1990,33510,33030,LAFAYETTE,LA,1341,FAILURE
BERGEN PARK NATIONAL BANK,4/20/1990,5769,5896,EVERGREEN,CO,1113,FAILURE
FIRST SAVINGS & LOAN,4/20/1990,168158,157855,MASSILON,OH,14379,FAILURE
HERITAGE FSA,4/20/1990,45859,44335,LAMAR,CO,8185,FAILURE
TEXAS FSA,4/20/1990,55368,60497,SAN ANTONIO,TX,49152,FAILURE
SOUTHEASTERN FEDERAL SAVINGS BANK,4/20/1990,49813,38391,LAUREL,MS,8914,FAILURE
FIRST NETWORK SAVINGS BANK,4/20/1990,303826,393643,LOS ANGELES,CA,186061,FAILURE
ENTERPRISE FED. FSA,4/20/1990,62602,45095,CLEARWATER,FL,9293,FAILURE
STATE BANK OF FORESTVILLE,3/8/1939,342,281,FORESTVILLE,WI,,FAILURE
TRINITY NATIONAL BANK OF DALLAS,4/26/1990,37140,37505,DALLAS,TX,1158,FAILURE
CENTRAL ARIZONA BANK,4/26/1990,6644,7083,CHANDLER,AZ,1029,FAILURE
"SIGNATURE BANK, NATIONAL ASSOCIATION",4/26/1990,26758,27398,DALLAS,TX,1619,FAILURE
GUARDIAN BANK,4/26/1990,25901,27020,SCOTTSDALE,AZ,8369,FAILURE
SANTA BARBARA S & L ASSOC.,4/27/1990,4291640,1744298,SANTA BARBARA,CA,55,FAILURE
HOME OWNERS SAVINGS BANK,4/27/1990,3491516,2701444,BURLINGTON,MA,354298,FAILURE
RICHARDSON NATIONAL BANK,5/3/1990,50460,59061,RICHARDSON,TX,12416,FAILURE
"FIRST NATIONAL BANK, NORTHEAST",5/3/1990,18013,18699,AUSTIN,TX,4692,FAILURE
TUCKER STATE BANK,5/4/1990,41759,43458,JACKSONVILLE,FL,17829,FAILURE
FIRST FED. SAVINGS BANK & TRUST,5/4/1990,25410,21072,INDEPENDENCE,MO,9892,FAILURE
RAHWAY TRUST COMPANY,3/11/1939,,1187,RAHWAY,NJ,,FAILURE
CAPITOL FEDERAL SAVINGS & LOAN,5/4/1990,980569,794367,AURORA,CO,391105,FAILURE
MUTUAL AIDE S & LA,5/4/1990,103314,105011,MANASQUAN,NJ,17873,FAILURE
SECURITY FEDERAL SAVINGS BANK,5/4/1990,26863,34154,CARLSBAD,NM,15479,FAILURE
PENINSULA S & LA,5/4/1990,51805,46145,SOUTH SAN FRANCISCO,CA,1461,FAILURE
"MISSISSIPPI SAVINGS BANK, FSB",5/8/1990,172343,148703,BATESVILLE,MS,16308,FAILURE
CHANCERY NATIONAL BANK,5/9/1990,15234,14917,DENVER,CO,2442,FAILURE
FIRST NATIONAL BANK OF GRAND SALINE,5/10/1990,28574,28669,GRAND SALINE,TX,6291,FAILURE
COMMONWEALTH NATIONAL BANK,5/10/1990,44494,45691,DALLAS,TX,2305,FAILURE
DOMINION NATIONAL BANK OF DENVER,5/10/1990,15317,14568,DENVER,CO,2224,FAILURE
FIRST NATIONAL BANK OF DESOTO,5/10/1990,24070,26512,DESOTO,TX,8608,FAILURE
EDEN STATE BANK,3/18/1939,,179,EDEN,WI,,FAILURE
"UNITED SAVINGS BANK, FSB",5/11/1990,161452,133233,WINDOM,MN,43841,FAILURE
THE FEDERAL SAVINGS BANC FA,5/11/1990,137288,124286,ARLINGTON,TX,41210,FAILURE
FIRST FSA OF BREAUX BRIDGE,5/11/1990,20360,20901,BREAUX BRIDGE,LA,1414,FAILURE
GREAT WEST FEDERAL SAVINGS BANK,5/11/1990,28089,31038,CRAIG,CO,4904,FAILURE
UNITED SAVINGS FSB,5/15/1990,245785,244812,PATERSON,NJ,21053,FAILURE
THE FIRST NATIONAL BANK OF GEORGETOWN,5/17/1990,71615,70280,GEORGETOWN,TX,32877,FAILURE
FIRST-TAYLOR NATIONAL BANK,5/17/1990,74001,79791,TAYLOR,TX,10857,FAILURE
"MERCHANTSBANK OF BOSTON, A CO-OP",5/18/1990,392219,390997,BOSTON,MA,95568,FAILURE
JONESBORO FEDERAL SA,5/18/1990,55046,54058,JONESBORO,LA,18829,FAILURE
FIRST FEDERAL SAVINGS OF CONROE,5/18/1990,174251,146206,CONROE,TX,29614,FAILURE
THE FULTON STATE BANK,3/18/1939,168,137,FULTON,IN,,FAILURE
JENNINGS FSA,5/18/1990,54070,55946,JENNINGS,LA,10978,FAILURE
FIRST FSA,5/18/1990,63198,53681,BORGER,TX,16565,FAILURE
SOUTHWEST SAVINGS ASSOCIATION,5/18/1990,5325053,3767794,DALLAS,TX,390465,FAILURE
GENTRY COUNTY BANK,5/24/1990,42268,46328,ALBANY,MO,5583,FAILURE
FARMERS STATE BANK OF BROOKSHIRE,5/24/1990,19438,19590,BROOKSHIRE,TX,3327,FAILURE
"MEMORIAL BANK, NATIONAL ASSOCIATION",5/24/1990,75928,73263,HOUSTON,TX,34809,FAILURE
MIDWAY NATIONAL BANK,5/24/1990,16389,17059,DALLAS,TX,4461,FAILURE
FIRST AMERICAN FEDERAL SAVINGS,5/25/1990,450689,444172,FORT SMITH,AR,45217,FAILURE
FIRST FEDERAL SAVINGS & LOAN,5/25/1990,232334,209021,NEW BRAUNFELS,TX,29593,FAILURE
CAGAUS-CENTRAL FEDERAL SAVINGS,5/25/1990,1639132,1255567,CAGUAS,PR,231272,FAILURE
STATE BANK OF BREMEN,3/18/1939,61,28,BREMEN,ND,,FAILURE
REMINGTON FEDERAL SAVINGS ASSOC.,5/25/1990,127005,113909,ELGIN,TX,63199,FAILURE
"BANK USA, FEDERAL ASSOCIATION",5/25/1990,22853,20859,SILVIS,IL,-433,FAILURE
AMERICAN PIONEER SAVINGS BANK,5/25/1990,1613793,1375875,ORLANDO,FL,446120,FAILURE
THE HUNTSVILLE NATIONAL BANK,5/31/1990,107169,107969,HUNTSVILLE,TX,11189,FAILURE
"THE WILSHIRE BANK, NATIONAL ASSOC",5/31/1990,24752,23915,LOS ANGELES,CA,3435,FAILURE
ROCKY MOUNTAIN NATIONAL BANK,5/31/1990,9203,8860,DENVER,CO,1677,FAILURE
THE HOME NATIONAL BANK OF MILFORD,6/1/1990,461659,436259,MILFORD,MA,94699,FAILURE
"NBC BANK- SOUTH TEXAS, NATIONAL",6/1/1990,118358,126492,CORPUS CHRISTI,TX,10430,FAILURE
"NBC BANK-SAN ANTONIO, NATIONAL ASSOC",6/1/1990,938232,877566,SAN ANTONIO,TX,66106,FAILURE
"NBC BANK-SEGUIN, NATIONAL ASSOC",6/1/1990,63757,68258,SEGUIN,TX,5647,FAILURE
MERCHANTS & FARMERS BANK,3/23/1939,223,192,ATKINS,AR,,FAILURE
"NBC BANK-RIO GRANDE VALLEY, NA",6/1/1990,138742,135221,MISSION,TX,0,FAILURE
"NBC BANK-BOERNE, NATIONAL ASSOC",6/1/1990,53811,57099,BOERNE,TX,296,FAILURE
"NBC BANK-UVALDE, NATIONAL ASSOC",6/1/1990,35133,36165,UVALDE,TX,0,FAILURE
"NBC BANK-HOUSTON, NATIONAL ASSOC",6/1/1990,186247,284619,HOUSTON,TX,115996,FAILURE
"NBC BANK-AUSTIN, NATIONAL ASSOC",6/1/1990,33805,41824,AUSTIN,TX,5786,FAILURE
"NBC BANK-KERRVILLE, NATIONAL ASSOC",6/1/1990,26011,30750,KERRVILLE,TX,4239,FAILURE
FIRST ANNAPOLIS SAVINGS,6/1/1990,720116,618270,ANNAPOLIS,MD,176938,FAILURE
MUTUAL S & LA,6/1/1990,104774,93295,WEATHERFORD,TX,15755,FAILURE
TIME FS & LA,6/1/1990,57943,53942,SAN FRANCISCO,CA,3127,FAILURE
INVESTORS OF FLORIDA,6/1/1990,282574,244856,DEERFIELD BEACH,FL,64122,FAILURE
PRESIDIO VALLEY BANK,11/18/1935,73,49,PRESIDIO,TX,,FAILURE
BANK OF AMORITA,4/6/1939,132,117,AMORITA,OK,,FAILURE
GREAT LIFE FSA,6/1/1990,42727,36325,SUNRISE,FL,7549,FAILURE
RICHMARK BANK,6/7/1990,35194,35824,HOUSTON,TX,11665,FAILURE
HULEN NATIONAL BANK,6/7/1990,11718,11705,FORT WORTH,TX,0,FAILURE
TEXAS NATIONAL BANK,6/7/1990,131825,131684,EL PASO,TX,6309,FAILURE
CLIFTON NATIONAL BANK,6/7/1990,12139,12217,CLIFTON,TX,1625,FAILURE
THE MERCHANTS BANK OF CALIFORNIA,6/8/1990,62435,60994,BEVERLY HILLS,CA,3354,FAILURE
HOMETOWN SAVINGS BANK FSB,6/8/1990,64666,58653,DELPHI,IN,8121,FAILURE
HOME FEDERAL,6/8/1990,235780,243512,WORCESTER,MA,139459,FAILURE
FIRST BANKERS TRUST,6/8/1990,103645,93539,MIDLAND,TX,14543,FAILURE
NATIONAL CITY BANK OF DENVER,6/14/1990,58350,65127,DENVER,CO,13507,FAILURE
THE FIRST NATIONAL BANK OF PLAINFIELD,4/8/1939,,4080,PLAINFIELD,NJ,,FAILURE
EXCHANGE NATIONAL BANK OF DEL CITY,6/14/1990,43160,39583,DEL CITY,OK,6995,FAILURE
THE WIMBERLEY BANK,6/14/1990,23282,24293,WIMBERLEY,TX,3836,FAILURE
"ALLIANCE BANK, NATIONAL ASSOCIATION",6/14/1990,81144,85452,AUSTIN,TX,14250,FAILURE
WILLOW BEND NATIONAL BANK,6/14/1990,58945,66130,PLANO,TX,26590,FAILURE
BANK M,6/15/1990,10691,10719,MIAMI,FL,3852,FAILURE
UNITED S & L OF TRENTON,6/15/1990,277721,277303,TRENTON,NJ,33795,FAILURE
MOULTRIE SAVINGS BANK FSB,6/15/1990,65753,52651,MOULTRIE,GA,2459,FAILURE
FIRST FEDERAL SAVINGS & LOAN,6/15/1990,156335,134186,METAIRIE,LA,51720,FAILURE
CHARTER SAVINGS BANK,6/15/1990,313895,280368,NEWPORT,CA,9808,FAILURE
FARMERS AND MERCHANTS BANK,6/18/1990,23999,22382,BUCKEYE,AZ,5768,FAILURE
BANK OF BRUSSELS,4/14/1939,,148,BRUSSELS,IL,,FAILURE
BANK OF EAST TEXAS,6/21/1990,11049,11173,TYLER,TX,3507,FAILURE
PEOPLES NATIONAL BANK,6/21/1990,9649,10848,CALDWELL,TX,3152,FAILURE
CENTRE NATIONAL BANK-FARMERS BRANCH,6/21/1990,39656,39179,FARMERS BRANCH,TX,5164,FAILURE
LAKELAND STATE BANK,6/21/1990,12774,12760,AUSTIN,TX,1651,FAILURE
"GERMANIA BANK, FSB",6/22/1990,785535,663333,ALTON,IL,60667,FAILURE
SOUTHERN FEDERAL BANK FOR SAVINGS,6/22/1990,142792,93946,GULFPORT,MS,34991,FAILURE
THE VALLEY VIEW NATIONAL BANK,6/28/1990,12969,12958,VALLEY VIEW,TX,1511,FAILURE
SOUTHWEST NATIONAL BANK,6/28/1990,33621,33592,AUSTIN,TX,7343,FAILURE
BROOKWOOD NATIONAL BANK,6/28/1990,26870,26784,OKLAHOMA CITY,OK,5620,FAILURE
"BACLIFF BANK, NATIONAL ASSOCIATION",6/28/1990,7131,7758,BACLIFF,TX,1606,FAILURE
THE TRUST COMPANY OF NEW JERSEY,4/20/1939,,48822,JERSEY CITY,NJ,,FAILURE
AMERICAN NATIONAL BANK,6/28/1990,14841,14775,ELK CITY,OK,1362,FAILURE
ELIOT SAVINGS BANK,6/29/1990,479461,468006,BOSTON,MA,212298,FAILURE
THE MONTGOMERY NATIONAL BANK,6/29/1990,92628,91622,MONTGOMERY TWNSP,NJ,0,FAILURE
TRAVIS SAVINGS & LOAN ASSOC.,6/29/1990,321705,273507,SAN ANTONIO,TX,53149,FAILURE
PIONEER FS & LA,6/29/1990,9466,9113,MARIETTA,OH,1018,FAILURE
FIRST JACKSON FSB,6/29/1990,116519,91386,JACKSON,MS,21956,FAILURE
WINDSOR SAVINGS ASSOC.,6/29/1990,108825,102713,AUSTIN,TX,45045,FAILURE
CHARTER SAVINGS & LOAN,6/29/1990,102977,83347,STAMFORD,CT,55726,FAILURE
"HOME SB, FSB",7/5/1990,12775,9890,SALT LAKE CITY,UT,218,FAILURE
CAPITAL NATIONAL BANK,7/6/1990,158197,145767,BRONX,NY,56133,FAILURE
WEST BERGEN TRUST COMPANY,4/20/1939,,2686,JERSEY CITY,NJ,,FAILURE
HERITAGE FSA,7/6/1990,48819,50638,LANCASTER,PA,1,FAILURE
MILFORD SAVINGS BANK,7/6/1990,328062,297787,MILFORD,MA,135232,FAILURE
IREDELL STATE BANK,7/12/1990,10020,10072,IREDELL,TX,2441,FAILURE
AMERICAN NATIONAL BANK OF GREENVILLE,7/12/1990,29081,29473,GREENVILLE,TX,6898,FAILURE
THE PERMANENT SAVINGS BANK,7/13/1990,329994,319311,NIAGARA FALLS,NY,0,FAILURE
CAPITOL-UNION FSA,7/13/1990,392790,322633,BATON ROUGE,LA,116785,FAILURE
NORTH TEXAS FSA,7/13/1990,96995,95941,WICHITA FALLS,TX,8176,FAILURE
SUMMIT FIRST S & LA,7/13/1990,57798,55837,SUMMIT,IL,-21,FAILURE
PROGRESSIVE SB,7/13/1990,50232,46512,NATCHITOCHES,LA,17078,FAILURE
COMMONWEALTH SAVINGS ASSOC.,7/20/1990,44046,44346,NEW ORLEANS,LA,19070,FAILURE
RIPLEY SAVINGS BANK & TRUST COMPANY,4/28/1939,794,739,RIPLEY,TN,,FAILURE
MAINSTAY FEDERAL SAVINGS,7/20/1990,226096,165855,RED BANK,NJ,52532,FAILURE
UNITED FS & LA,7/20/1990,18949,18880,VIDALIA,LA,0,FAILURE
"CHARTER BANK, A FSB",7/20/1990,130831,68851,HATTIESBURG,MS,22638,FAILURE
