NAME,FAILDATE,QBFASSET,QBFDEP,CITY,PSTALP,COST,RESTYPE
THE PEOPLES NATIONAL BANK & TRUST,2/6/1986,51966,49408,ALBIA,IA,13438,FAILURE
JOHNSON COUNTY BANK,2/7/1986,20173,19384,TECUMSEH,NE,4818,FAILURE
VALENCIA BANK,2/7/1986,101081,99181,PLACENTIA,CA,0,FAILURE
CORONADO FS&LA,2/7/1986,12728,13559,KANSAS CITY,KS,24,ASSISTANCE
MT. WHITNEY S&LA,2/12/1986,81642,83873,EXETER,CA,29755,FAILURE
FIRST NATIONAL BANK OF TIPTON,2/14/1986,17896,18008,TIPTON,IA,665,FAILURE
PARK BANK OF FLORIDA,2/14/1986,591667,577791,ST. PETERSBURG,FL,134893,FAILURE
"EXECUTIVE CENTER BANK, N.A.",2/14/1986,9911,9608,DALLAS,TX,3208,FAILURE
AMERICAN DIVERSIFIED SAVINGS BANK,2/14/1986,978635,958953,COSTA MESA,CA,743908,FAILURE
INTERCAPITAL S&LA,2/14/1986,65233,70825,JACKSONVILLE BEACH,FL,33410,FAILURE
ROBBINS BANK & TRUST COMPANY,4/15/1937,,29,ROBBINS,TN,,FAILURE
FIRST NATIONAL BANK AT DOUGLAS,2/21/1986,14020,14260,DOUGLAS,WY,4103,FAILURE
ELK CITY STATE BANK,2/21/1986,22159,21408,ELK CITY,OK,7862,FAILURE
CAPITOL S&LA,2/21/1986,192018,180527,MOUNT PLEASANT,IA,98990,FAILURE
THE FIRST NATIONAL BANK OF GORMAN,2/27/1986,14486,13623,GORMAN,TX,5669,FAILURE
THE FIRST NATIONAL BANK OF TEKAMAH,3/6/1986,21166,20228,TEKAMAH,NE,2204,FAILURE
THE CITY NATIONAL BANK OF PLAINVIEW,3/6/1986,48357,49606,PLAINVIEW,TX,1632,FAILURE
THE CITIZENS BANK OF WINIGAN,3/7/1986,6534,6209,WINIGAN,MO,1270,FAILURE
FARMERS & MERCHANTS ST BK OF LAMBERTON,3/14/1986,17139,16196,LAMBERTON,MN,3611,FAILURE
MERCURY S&LA OF TEXAS,3/14/1986,664049,601823,WICHITA FALLS,TX,578793,ASSISTANCE
BEN MILAM S&LA,3/14/1986,306041,279080,CAMERON,TX,348177,ASSISTANCE
BANK OF EUREKA,4/23/1937,70,57,EUREKA,MO,,FAILURE
WILLIAMS SAVINGS BANK,3/20/1986,12847,11746,WILLIAMS,IA,359,FAILURE
FIRST FS&LA OF REDDING,3/20/1986,39642,41214,REDDING,CA,-223,ASSISTANCE
HACIENDA FS&LA,3/20/1986,34456,15545,OXNARD,CA,-185,ASSISTANCE
GUARANTY S&LA,3/21/1986,22341,13877,LONGVIEW,WA,3428,FAILURE
STOCKHOLM STATE BANK,3/27/1986,7154,6644,STOCKHOLM,SD,991,FAILURE
FIRST STATE BANK,3/27/1986,17008,16307,MEMPHIS,TX,4708,FAILURE
FIRST STATE BANK,3/27/1986,6083,5597,WHITE CLOUD,KS,1399,FAILURE
WESTWOOD S&LA,3/27/1986,583179,550570,LOS ANGELES,CA,,FAILURE
FARMERS & MERCHANTS BANK OF HUNTSVILLE,3/28/1986,16603,17590,HUNTSVILLE,MO,4718,FAILURE
FAMILY BANK,3/28/1986,27979,24673,OGDEN,UT,2764,FAILURE
WHITEWOOD BANKING COMPANY,4/29/1937,124,88,WHITEWOOD,SD,,FAILURE
"UNITED BANK, SSB",3/28/1986,590234,489667,SAN FRANCISCO,CA,51973,ASSISTANCE
INDUSTRIAL NATIONAL BANK OF EAST CHICAGO,4/3/1986,8387,8146,EAST CHICAGO,IN,1180,FAILURE
EDDY COUNTY NATIONAL BANK,4/3/1986,30352,26541,CARLSBAD,NM,10919,FAILURE
MAINLAND  S&LA,4/4/1986,1003281,873609,HOUSTON,TX,1124399,FAILURE
THE NATIONAL BANK,4/10/1986,43038,39806,DYERSVILLE,IA,11234,FAILURE
THE PEOPLES BANK OF MERCER,4/10/1986,10412,10456,MERCER,MO,1987,FAILURE
THE FIRST NATIONAL BANK OF RUSTON,4/10/1986,31539,31047,RUSTON,LA,2287,FAILURE
CENTER NATIONAL BANK,4/11/1986,47721,45728,LOS ANGELES,CA,10939,FAILURE
FIRST AMERICAN S&LA,4/14/1986,80596,73477,BENTON,IL,25478,ASSISTANCE
COLUMBUS S&LA,4/14/1986,271460,295030,SAN RAFAEL,CA,117355,ASSISTANCE
ST. ONGE STATE BANK,4/30/1937,81,61,ST. ONGE,SD,,FAILURE
GATEWAY SB,4/14/1986,155852,166948,SAN FRANCISCO,CA,,FAILURE
THE TALMAGE STATE BANK,4/16/1986,9258,8883,TALMAGE,KS,1530,ASSISTANCE
SUMMIT S&LA,4/16/1986,210684,180733,PARK CITY,UT,46076,FAILURE
FLORIDA CENTER BANK,4/18/1986,78891,72235,ORLANDO,FL,14758,FAILURE
UNION COUNTY BANK,4/22/1986,32902,30436,MAYNARDVILLE,TN,3473,FAILURE
THE FIRST NATIONAL BANK OF BANDERA,4/24/1986,15541,15062,BANDERA,TX,2459,FAILURE
FIRST NATIONAL BANK OF IRVING,4/24/1986,38462,37809,IRVING,TX,5247,FAILURE
WASHINGTON FIRST FS&LA,4/30/1986,57463,60092,ST. LOUIS,MO,1,ASSISTANCE
THE FIRST NATIONAL BANK OF CARTER,5/1/1986,7344,6714,CARTER,OK,1508,FAILURE
THE BEDFORD NATIONAL BANK,5/1/1986,19323,18365,BEDFORD,IA,4648,FAILURE
THE CITIZENS BANK,5/1/1937,157,141,BUCKLIN,MO,,FAILURE
BANK OF NORTONVILLE,5/1/1986,7249,6472,NORTONVILLE,KS,2473,FAILURE
BANK OF COMMERCE & TRUST COMPANY,5/8/1986,182653,154279,TULSA,OK,52895,FAILURE
FIRST BANK & TRUST OF IDAHO,5/9/1986,55867,51885,MALAD CITY,ID,17244,FAILURE
RAINSVILLE BANK,5/9/1986,17489,16081,RAINSVILLE,AL,566,FAILURE
THE CITIZENS STATE BANK OF ST. FRANCIS,5/15/1986,24189,22073,ST. FRANCIS,KS,8430,FAILURE
SADDLEBACK NATIONAL BANK,5/15/1986,13454,13112,LAGUNA HILLS,CA,3937,FAILURE
CONSOLIDATED SAVINGS BANK,5/22/1986,84370,78422,IRVINE,CA,36074,FAILURE
FIRST STATE BANK & TRUST COMPANY,5/23/1986,137947,136979,EDINBURG,TX,21671,FAILURE
SUNSHINE STATE BANK,5/23/1986,109404,103092,SOUTH MIAMI,FL,58532,FAILURE
CENTENNIAL STATE BANK OF COLORADO,5/23/1986,20357,20210,ENGLEWOOD,CO,2050,FAILURE
PALMETTO STATE BANK,3/9/1935,149,136,LAKE CITY,SC,,FAILURE
FARMERS & MERCHANTS TRUST BANK,5/22/1937,,844,CAPE CHARLES,VA,,FAILURE
ROSELAND STATE BANK,5/28/1986,12020,11237,ROSELAND,NE,662,FAILURE
